State Code,District Code,Sub District Code,Level,Area Name,Total number of inhabited villages,Total Rural population,,,Less than 200,,,,200-499,,,,500-999,,,,1000-1999,,,,2000-4999,,,,5000-9999,,,,10000 and above,,,
,,,,,,,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,
,,,,,,Persons ,Males,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females
01,007,00029,SUB-DISTRICT,Bani,33,45996,23889,22107,1,137,72,65,3,1275,652,623,7,5178,2658,2520,15,21751,11306,10445,7,17655,9201,8454,0,0,0,0,0,0,0,0
01,007,00030,SUB-DISTRICT,Kathua,163,139941,74698,65243,36,3651,1928,1723,42,14559,7747,6812,36,24637,13015,11622,37,53143,27962,25181,10,29796,15695,14101,2,14155,8351,5804,0,0,0,0
01,007,00031,SUB-DISTRICT,Hiranagar,197,129504,68116,61388,38,3255,1723,1532,69,22508,11815,10693,57,40878,21600,19278,19,25803,13552,12251,14,37060,19426,17634,0,0,0,0,0,0,0,0
01,008,00000,DISTRICT,Baramula,509,825539,432399,393140,24,3034,1549,1485,89,30390,15736,14654,117,86358,44294,42064,148,209914,108581,101333,110,341567,181989,159578,20,140070,72851,67219,1,14206,7399,6807
01,008,00032,SUB-DISTRICT,Sopore,57,148621,75856,72765,1,198,104,94,1,230,115,115,11,8435,4296,4139,15,23001,11615,11386,21,63027,32013,31014,8,53730,27713,26017,0,0,0,0
01,008,00033,SUB-DISTRICT,Rafiabad,77,85624,43789,41835,10,1254,641,613,20,6225,3200,3025,18,12961,6684,6277,18,25367,12954,12413,9,28720,14599,14121,2,11097,5711,5386,0,0,0,0
01,008,00034,SUB-DISTRICT,Pattan,94,209617,110686,98931,1,104,53,51,7,2530,1311,1219,23,16543,8487,8056,29,40175,20824,19351,28,92806,49511,43295,5,43253,23101,20152,1,14206,7399,6807
01,008,00035,SUB-DISTRICT,Baramulla,42,78215,40998,37217,0,0,0,0,5,1770,912,858,5,3322,1702,1620,19,27093,14022,13071,11,33385,17907,15478,2,12645,6455,6190,0,0,0,0
01,008,00036,SUB-DISTRICT,Kreeri,50,66954,34447,32507,1,162,85,77,9,3321,1669,1652,15,12241,6312,5929,14,19146,9900,9246,11,32084,16481,15603,0,0,0,0,0,0,0,0
01,008,00037,SUB-DISTRICT,Uri,41,65501,35153,30348,3,357,182,175,9,3348,1751,1597,3,2148,1110,1038,14,20731,10769,9962,11,31724,17653,14071,1,7193,3688,3505,0,0,0,0
01,008,00038,SUB-DISTRICT,Boniyar,52,72564,39566,32998,2,272,140,132,9,3095,1611,1484,15,11505,6020,5485,15,21683,11309,10374,11,36009,20486,15523,0,0,0,0,0,0,0,0
01,008,00039,SUB-DISTRICT,Tangmarg ,96,98443,51904,46539,6,687,344,343,29,9871,5167,4704,27,19203,9683,9520,24,32718,17188,15530,8,23812,13339,10473,2,12152,6183,5969,0,0,0,0
01,009,00000,DISTRICT,Bandipore,119,326871,172263,154608,3,337,163,174,11,3562,1829,1733,20,14550,7621,6929,23,33406,17753,15653,43,132561,71388,61173,16,107934,55620,52314,3,34521,17889,16632
01,009,00040,SUB-DISTRICT,Gurez,28,37992,22978,15014,1,146,77,69,5,1930,981,949,8,5689,2974,2715,7,10476,5933,4543,7,19751,13013,6738,0,0,0,0,0,0,0,0
01,009,00041,SUB-DISTRICT,Bandipora,41,140657,72858,67799,0,0,0,0,1,228,121,107,6,4600,2421,2179,11,15739,8101,7638,11,32722,16954,15768,10,65808,34098,31710,2,21560,11163,10397
01,009,00042,SUB-DISTRICT,Sonawari,50,148222,76427,71795,2,191,86,105,5,1404,727,677,6,4261,2226,2035,5,7191,3719,3472,25,80088,41421,38667,6,42126,21522,20604,1,12961,6726,6235
01,010,00000,DISTRICT,Srinagar,11,17313,8916,8397,0,0,0,0,3,947,491,456,0,0,0,0,5,8197,4241,3956,3,8169,4184,3985,0,0,0,0,0,0,0,0
